AUTH_METHOD;TIMESTAMP;ACCOUNT_UID;ACCOUNT_NAME;ACCOUNT_EMAIL;ACCOUNT_ORGANIZATION_UID;ACCOUNT_ORGANIZATION_NAME;ACCOUNT_TAGS;FINDING_UID;PROVIDER;CHECK_ID;CHECK_TITLE;CHECK_TYPE;STATUS;STATUS_EXTENDED;MUTED;SERVICE_NAME;SUBSERVICE_NAME;SEVERITY;RESOURCE_TYPE;RESOURCE_UID;RESOURCE_NAME;RESOURCE_DETAILS;RESOURCE_TAGS;PARTITION;REGION;DESCRIPTION;RISK;RELATED_URL;REMEDIATION_RECOMMENDATION_TEXT;REMEDIATION_RECOMMENDATION_URL;REMEDIATION_CODE_NATIVEIAC;REMEDIATION_CODE_TERRAFORM;REMEDIATION_CODE_CLI;REMEDIATION_CODE_OTHER;COMPLIANCE;CATEGORIES;DEPENDS_ON;RELATED_TO;NOTES;PROWLER_VERSION;ADDITIONAL_URLS
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0008-iac-branch-.;iac;AWS-0008;Launch configuration with unencrypted block device.;Infrastructure as Code;PASS;No issues found;False;terraform;;high;iac;.;.;;;;branch;"Block devices should be encrypted to ensure sensitive data is held securely at rest.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0008;Turn on encryption for all block devices;https://avd.aquasec.com/misconfig/aws-0008;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0009-iac-branch-.;iac;AWS-0009;Launch configuration should not have a public IP address.;Infrastructure as Code;PASS;No issues found;False;terraform;;high;iac;.;.;;;;branch;"You should limit the provision of public IP addresses for resources. Resources should not be exposed on the public internet, but should have access limited to consumers required for the function of your application.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0009;Set the instance to not be publicly accessible;https://avd.aquasec.com/misconfig/aws-0009;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0019-iac-branch-.;iac;AWS-0019;Config configuration aggregator should be using all regions for source;Infrastructure as Code;PASS;No issues found;False;terraform;;high;iac;.;.;;;;branch;"Sources that aren't covered by the aggregator are not include in the configuration. The configuration aggregator should be configured with all_regions for the source.
This will help limit the risk of any unmonitored configuration in regions that are thought to be unused.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0019;Set the aggregator to cover all regions;https://avd.aquasec.com/misconfig/aws-0019;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0026-iac-branch-.;iac;AWS-0026;EBS volumes must be encrypted;Infrastructure as Code;PASS;No issues found;False;terraform;;high;iac;.;.;;;;branch;"By enabling encryption on EBS volumes you protect the volume, the disk I/O and any derived snapshots from compromise if intercepted.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0026;Enable encryption of EBS volumes;https://avd.aquasec.com/misconfig/aws-0026;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0027-iac-branch-.;iac;AWS-0027;EBS volume encryption should use Customer Managed Keys;Infrastructure as Code;PASS;No issues found;False;terraform;;low;iac;.;.;;;;branch;"Encryption using AWS keys provides protection for your EBS volume. To increase control of the encryption and manage factors like rotation use customer managed keys.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0027;Enable encryption using customer managed keys;https://avd.aquasec.com/misconfig/aws-0027;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0028-iac-branch-.;iac;AWS-0028;aws_instance should activate session tokens for Instance Metadata Service.;Infrastructure as Code;PASS;No issues found;False;terraform;;high;iac;.;.;;;;branch;"IMDS v2 (Instance Metadata Service) introduced session authentication tokens which improve security when talking to IMDS.

By default <code>aws_instance</code> resource sets IMDS session auth tokens to be optional.

To fully protect IMDS you need to enable session tokens by using <code>metadata_options</code> block and its <code>http_tokens</code> variable set to <code>required</code>.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0028;Enable HTTP token requirement for IMDS;https://avd.aquasec.com/misconfig/aws-0028;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0029-iac-branch-.;iac;AWS-0029;User data for EC2 instances must not contain sensitive AWS keys;Infrastructure as Code;PASS;No issues found;False;terraform;;critical;iac;.;.;;;;branch;"EC2 instance data is used to pass start up information into the EC2 instance. This userdata must not contain access key credentials. Instead use an IAM Instance Profile assigned to the instance to grant access to other AWS Services.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0029;Remove sensitive data from the EC2 instance user-data;https://avd.aquasec.com/misconfig/aws-0029;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0056-iac-branch-.;iac;AWS-0056;IAM Password policy should prevent password reuse.;Infrastructure as Code;PASS;No issues found;False;terraform;;medium;iac;.;.;;;;branch;"IAM account password policies should prevent the reuse of passwords.

The account password policy should be set to prevent using any of the last five used passwords.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0056;Prevent password reuse in the policy;https://avd.aquasec.com/misconfig/aws-0056;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0058-iac-branch-.;iac;AWS-0058;IAM Password policy should have requirement for at least one lowercase character.;Infrastructure as Code;PASS;No issues found;False;terraform;;medium;iac;.;.;;;;branch;"IAM account password policies should ensure that passwords content including at least one lowercase character.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0058;Enforce longer, more complex passwords in the policy;https://avd.aquasec.com/misconfig/aws-0058;;;;;;;;;;5.18.1;
No auth;2026-02-10 21:27:42.468155;iac;iac;;;;;prowler-iac-AWS-0059-iac-branch-.;iac;AWS-0059;IAM Password policy should have requirement for at least one number in the password.;Infrastructure as Code;PASS;No issues found;False;terraform;;medium;iac;.;.;;;;branch;"IAM account password policies should ensure that passwords content including at least one number.
";This provider has not defined a risk for this check.;https://avd.aquasec.com/misconfig/aws-0059;Enforce longer, more complex passwords in the policy;https://avd.aquasec.com/misconfig/aws-0059;;;;;;;;;;5.18.1;
